,airport_name,city_name,country_name,timezone,type_of_port
0,Kalskag Airport,Kalskag,United States,-9,airport
1,Berens River Airport,Berens River,Canada,-6,airport
2,Mojave Airport,Mojave,United States,-8,airport
3,Mananara Nord Airport,Mananara,Madagascar,3,airport
4,Bauru Airport,Bauru,Brazil,-3,airport
5,Wittman Regional Airport,Oshkosh,United States,-6,airport
6,Chiasso Railway Station,Chiasso,Switzerland,1,station
7,Flin Flon Airport,Flin Flon,Canada,-6,airport
8,Çiğli Airport,Izmir,Turkey,3,airport
9,Antsirabato Airport,Antalaha,Madagascar,3,airport
10,South Texas Regional Airport at Hondo,Hondo,United States,-6,airport
11,Adnan Menderes International Airport,Izmir,Turkey,3,airport
12,Club Makokola Airport,Club Makokola,Malawi,2,airport
13,Colmar-Houssen Airport,Colmar,France,1,airport
14,Damazin Airport,Damazin,Sudan,3,airport
15,Berbérati Airport,Berberati,Central African Republic,1,airport
16,Eugenio Maria De Hostos Airport,Mayaguez,Puerto Rico,-4,airport
17,Diamantina Airport,Diamantina,Brazil,-3,airport
18,Svanemollen Railway Station,Copenhagen,Denmark,1,station
19,Lviv Central Railway Station,Lviv,Ukraine,2,station
20,El Bosque Airport,Santiago,Chile,-4,airport
21,Teniente Benjamin Matienzo Airport,Tucuman,Argentina,-3,airport
22,Akola Airport,Akola,India,5.5,airport
23,Youngstown Elser Metro Airport,Youngstown,United States,-5,airport
24,Vogtareuth Airport,Vogtareuth,Germany,1,airport
25,Sand Point Airport,Sand Point,United States,-9,airport
26,"Szczecin-Goleniów ""Solidarność"" Airport",Szczecin,Poland,1,airport
27,Vancouver Harbour Water Aerodrome,Vancouver,Canada,-8,airport
28,Flugplatz Dahlemer Binz,Dahlemer Binz,Germany,1,airport
29,Cable Airport,Upland,United States,-8,airport
30,Gatwick Airport Railway Station,Crawley,United Kingdom,0,airport
31,Godman Army Air Field,Fort Knox,United States,-5,airport
32,Paro Airport,Thimphu,Bhutan,6,airport
33,Dobbins Air Reserve Base,Marietta,United States,-5,airport
34,Zaria Airport,Zaria,Nigeria,1,airport
35,Shaibah Airport,Shaybah,Saudi Arabia,3,airport
36,Namangan Airport,Namangan,Uzbekistan,5,airport
37,Crisp County Cordele Airport,Cordele,United States,-5,airport
38,Larisa Airport,Larissa,Greece,2,airport
39,Dryden Regional Airport,Dryden,Canada,-6,airport
40,Gilmer County Airport,Ellijay,United States,-5,airport
41,Coral Creek Airport,Placida,United States,-5,airport
42,Cruise Port,Topolobampo,Mexico,-7,port
43,Wipim Airport,Wipim,Papua New Guinea,10,airport
44,Charleston Air Force Base-International Airport,Charleston,United States,-5,airport
45,Chippewa County International Airport,Sault Ste Marie,United States,-5,airport
46,Colmar-Meyenheim Air Base,Colmar,France,1,airport
47,Markham GO Station,Markham,Canada,-5,station
48,Mariehamn Airport,Mariehamn,Finland,2,airport
49,Mabuiag Island Airport,Mabuiag Island,Australia,10,airport
50,Sokol Airport,Magadan,Russia,11,airport
51,Kalaleh Airport,Kalaleh,Iran,3.5,airport
52,Kongiganak Airport,Kongiganak,United States,-9,airport
53,Kenosha Station,Kenosha,United States,-6,station
54,Adnan Menderes International Airport,Izmir,Turkey,3,airport
55,Greater Cumberland Regional Airport,Cumberland,United States,-5,airport
56,Syktyvkar Airport,Syktyvkar,Russia,3,airport
57,Ærø Airport,Aero,Denmark,1,airport
58,Alexandria International Airport,Alexandria,United States,-6,airport
59,Cat Lake Airport,Cat Lake,Canada,-6,airport
60,Saint-Yan Airport,St.-yan,France,1,airport
61,Bourg-Ceyzériat Airport,Bourg,France,1,airport
62,Cowra Airport,Chatsworth,Australia,10,airport
63,Caballococha Airport,Caballococha,Peru,-5,airport
64,Shigatse Air Base,Shigatse,China,8,airport
65,Elfin Cove Seaplane Base,Elfin Cove,United States,-9,airport
66,Egal International Airport,Hargeisa,Somalia,3,airport
67,Hudson Bay Airport,Hudson Bay,Canada,-6,airport
68,Sioux Lookout Airport,Sioux Lookout,Canada,-6,airport
69,Dalaman International Airport,Dalaman,Turkey,3,airport
70,Stratford Station,Stratford,United States,-5,station
71,Owen Roberts International Airport,Georgetown,Cayman Islands,-5,airport
72,Apataki Airport,Apataki,French Polynesia,-10,airport
73,Dover Air Force Base,Dover,United States,-5,airport
74,Lübeck Blankensee Airport,Luebeck,Germany,1,airport
75,Roma Tiburtina Railway Station,Rome,Italy,1,station
76,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,1,airport
77,Ikerasak Heliport,Ikerasak,Greenland,-3,airport
78,Wooloowin Railway Station,Wooloowin,Australia,10,station
79,Seaplane Base,Winterhaven,United States,-5,airport
80,Dourados Airport,Dourados,Brazil,-4,airport
81,Wustermark Railway Station,Wustermark,Germany,1,station
82,Sundsvall-Härnösand Airport,Sundsvall,Sweden,1,airport
83,Tracy Municipal Airport,Tracy,United States,-8,airport
84,Helsinki Vantaa Airport,Helsinki,Finland,2,airport
85,Ben Slimane Airport,Ben Slimane,Morocco,0,airport
86,King Mswati III International Airport,Manzini,Swaziland,2,airport
87,Rock Sound Airport,Rock Sound,Bahamas,-5,airport
88,Vinnytsia/Gavyryshivka Airport,Vinnitsa,Ukraine,2,airport
89,Machu Pichu Airport,Machu Pichu,Peru,-5,airport
90,Hradec Králové Airport,Hradec Kralove,Czech Republic,1,airport
