,airport_name,city_name,country_name,timezone,type_of_port
0,Lupin Mine Airport,Lupin Mine,Canada,-7,airport
1,Vredendal Airport,Vredendal,South Africa,2,airport
2,Barra do Garças Airport,Barra Do Garcas,Brazil,-4,airport
3,Chemult Station,Chemult OR,United States,-8,station
4,Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids MN,United States,-6,airport
5,Baotou Airport,Baotou,China,8,airport
6,Koyukuk Airport,Koyukuk,United States,-9,airport
7,El Alamein International Airport,Dabaa City,Egypt,2,airport
8,San Sebastian Railway Station,San Sebastian,Spain,1,station
9,Vadala Road Railway Station,Mumbai,India,5.5,station
10,Les Eplatures Airport,Les Eplatures,Switzerland,1,airport
11,Millington-Memphis Airport,Millington,United States,-6,airport
12,Levelock Airport,Levelock,United States,-9,airport
13,Northeast Alabama Regional Airport,Gadsden,United States,-6,airport
14,Queen Alia International Airport,Amman,Jordan,2,airport
15,Dayton-Wright Brothers Airport,Dayton,United States,-5,airport
16,Sedona Airport,Sedona,United States,-7,airport
17,Kissidougou Airport,Kissidougou,Guinea,0,airport
18,Ouzinkie Airport,Ouzinkie,United States,-9,airport
19,Grand Forks International Airport,Grand Forks,United States,-6,airport
20,Naha Airport,Naha,Indonesia,8,airport
21,Lok Nayak Jayaprakash Airport,Patina,India,5.5,airport
22,Tomanggong Airport,Tomanggong,Malaysia,8,airport
23,Shanghai Hongqiao International Airport,Shanghai,China,8,airport
24,Mardin Airport,Mardin,Turkey,3,airport
25,Port St Johns Airport,Port Saint Johns,South Africa,2,airport
26,Forest Lake Airport,Forest Lake,United States,-6,airport
27,Clyde River Airport,Clyde River,Canada,-5,airport
28,Tokunoshima Airport,Tokunoshima,Japan,9,airport
29,Plymouth Municipal Airport,Plymouth,United States,-5,airport
30,Rawlins Municipal Airport/Harvey Field,Rawlins,United States,-7,airport
31,Bundaberg Railway Station,Bundaberg,Australia,10,station
32,Chengdu Shuangliu International Airport,Chengdu,China,8,airport
33,Toledo Airport,Toledo,Brazil,-3,airport
34,Shaikh Zaid Airport,Rahim Yar Khan,Pakistan,5,airport
35,Sharm El Sheikh International Airport,Sharm El Sheikh,Egypt,2,airport
36,Mezen Airport,Mezen,Russia,3,airport
37,Changzhou Benniu Airport,Changzhou,China,8,airport
38,RAF Akrotiri,Akrotiri,Cyprus,0,airport
39,Don Mueang International Airport,Bangkok,Thailand,7,airport
40,Mys Shmidta Airport,Mys Shmidta,Russia,12,airport
41,Adlershof Station,Berlin,Germany,1,station
42,Damascus International Airport,Damascus,Syria,2,airport
43,Abbotsford Airport,Abbotsford,Canada,-8,airport
44,Black Rock Airport,Zuni Pueblo,United States,-7,airport
45,Ketchikan International Airport,Ketchikan,United States,-9,airport
46,Carnarvon Airport,Carnarvon,Australia,8,airport
47,Ulysses Airport,Ulysses,United States,-5,airport
48,Alexandra Palace Railway Station,Haringey,United Kingdom,0,station
49,Ampilatwatja Airport,Ampilatwatja,Australia,9.5,airport
50,Kankesanturai Airport,Jaffna,Sri Lanka,5.5,airport
51,Yalova Airport,Yalova,Turkey,3,airport
52,Tampere-Pirkkala Airport,Tampere,Finland,2,airport
53,Kalbarri Airport,Kalbarri,Australia,8,airport
54,Coburg Station,Coburg,Canada,-5,station
55,Cascavel Airport,Cascavel,Brazil,-3,airport
56,Karlsruhe Hauptbahnhof,Karlsruhe,Germany,1,station
57,West 30th St. Heliport,New York,United States,-5,airport
58,Nal Airport,Bikaner,India,5.5,airport
59,Sidney - Richland Regional Airport,Sidney,United States,-7,airport
60,Argyle Airport,Argyle,Australia,8,airport
61,San Jose Airport,San Jose,Philippines,8,airport
62,Fuzhou Railway Station,Fuzhou,China,8,station
63,Mnichovo Hradiště Airport,Mnichovo Hradiste,Czech Republic,1,airport
64,Arsvagen Ferry Terminal,Arsvagen,Norway,1,port
65,Collin County Regional At Mc Kinney Airport,DALLAS,United States,-6,airport
66,Kaili Airport,Kaili,China,8,airport
67,Rajkot Airport,Rajkot,India,5.5,airport
68,Erie International Tom Ridge Field,Erie,United States,-5,airport
69,Prince Said Ibrahim International Airport,Moroni,Comoros,3,airport
70,Loughborough Station,Loughborough,United Kingdom,0,station
71,Teniente Benjamin Matienzo Airport,Tucuman,Argentina,-3,airport
72,Pori Airport,Pori,Finland,2,airport
73,Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,Brazil,-3,airport
74,Latrobe Station,Latrobe,United States,-5,station
75,Zvartnots International Airport,Yerevan,Armenia,4,airport
76,Central Airport,Central,United States,-9,airport
77,Vincenzo Florio Airport Trapani-Birgi,Trapani,Italy,1,airport
78,Julius Nyerere International Airport,Dar Es Salaam,Tanzania,3,airport
79,Abeche Airport,Abeche,Chad,1,airport
80,Brandywine Airport,West Goshen Township,United States,-5,airport
81,San Carlos Airport,San Carlos,United States,-8,airport
82,Piarco International Airport,Port-of-spain,Trinidad and Tobago,-4,airport
83,Mineralnyye Vody Airport,Mineralnye Vody,Russia,3,airport
84,Maestro Wilson Fonseca Airport,Santarem,Brazil,-3,airport
85,Inagua Airport,Matthew Town,Bahamas,-5,airport
86,Ballera Airport,Ballera,Australia,10,airport
87,Fazenda Uiapuru Airport,COMODORO,Brazil,-4,airport
88,Ouzinkie Airport,Ouzinkie,United States,-9,airport
89,Van Ferit Melen Airport,Van,Turkey,3,airport
90,Kalgoorlie Boulder Airport,Kalgoorlie,Australia,8,airport
91,Carl Folsom Airport,Elba,United States,-5,airport
92,General Freire Airport,Curico,Chile,-4,airport
93,Yalata Mission Airport,Yalata,Australia,9.5,airport
94,Shymkent Airport,Chimkent,Kazakhstan,6,airport
95,Őcsény Airport,Ocseny,Hungary,1,airport
96,Mankato Regional Airport,Mankato,United States,-6,airport
97,Millville Municipal Airport,Millville,United States,-5,airport
98,Chios Island National Airport,Chios,Greece,2,airport
99,Le Havre Octeville Airport,Le Havre,France,1,airport
100,Floyd Bennett Memorial Airport,Queensbury,United States,-5,airport
101,Kirkenes Airport (Høybuktmoen),Kirkenes,Norway,1,airport
102,Hayward Executive Airport,Hayward,United States,-8,airport
103,Eagle's Nest Airport,Waynesboro,United States,-5,airport
104,Santacruz Railway Station,Mumbai,India,5.5,station
105,Geneva Station,Geneva,United States,-6,station
106,Cesar Lim Rodriguez Airport,Taytay,Philippines,8,airport
107,Primavera do Leste Airport,PRIMAVERA DO LESTE,Brazil,-4,airport
108,Benson Airstrip,Uvalde,United States,-6,airport
109,Battersea Park Railway Station,London,United Kingdom,0,station
110,Houghton County Memorial Airport,Hancock,United States,-5,airport
111,Afonso Pena Airport,Curitiba,Brazil,-3,airport
112,Milano Centrale Railway Station,Milan,Italy,1,station
113,Macomb Municipal Airport,Macomb,United States,-6,airport
114,EMBRAER - Unidade Gavião Peixoto Airport,Macae,Brazil,-3,airport
115,Beihan Airport,Beihan,Yemen,3,airport
116,Rajiv Gandhi International Airport,Hyderabad,India,5.5,airport
117,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,-4,airport
118,Dessau Airfield,Dessau,Germany,1,airport
119,Olympic Station,Hong Kong,Hong Kong,8,station
120,Immokalee Regional Airport,Immokalee ,United States,-5,airport
121,Kaitaia Airport,Kaitaia,New Zealand,12,airport
122,Kabale Airport,Kabale,Uganda,3,airport
123,Guntersville Municipal Airport - Joe Starnes Field,Guntersville,United States,-6,airport
124,Dagenham Dock Railway Station,Dagenham,United Kingdom,0,station
125,Leros Airport,Leros,Greece,2,airport
